,fiyat,il,ilce,mahalle,Net,OdaSayısı,BinanınYASI,BulunduguKAT,BinadakiKatSAYISI,IsıtmaTıpı,BanyoSAYISI
881,"340,000",0,0,7,9,1,4,2,1,1,0
882,"430,000",0,0,15,7,1,0,0,4,1,0
883,"350,000",0,0,10,9,1,5,1,1,1,0
884,"358,000",0,0,7,12,1,4,2,1,1,0
885,"360,000",0,0,3,11,1,2,0,5,2,0
886,"370,000",0,0,3,14,1,4,2,1,1,0
887,"265,000",0,0,8,13,1,5,3,2,1,0
888,"420,000",0,0,10,11,1,0,1,4,1,0
889,"225,000",0,0,14,1,0,0,2,1,1,0
890,"360,000",0,0,4,11,1,0,2,4,1,0
891,"425,000",0,0,5,16,1,2,6,4,4,0
892,"465,000",0,0,2,15,2,1,7,0,0,1
893,"265,000",0,0,16,3,0,3,9,2,1,0
894,"450,000",0,0,12,17,3,5,7,0,0,1
895,"400,000",0,0,0,4,1,0,5,4,1,0
896,"258,000",0,0,1,10,1,1,0,1,1,0
897,"290,000",0,0,4,6,1,5,5,4,1,0
898,"325,000",0,0,10,5,1,3,8,4,1,0
899,"415,000",0,0,13,11,1,0,0,5,4,0
900,"325,000",0,0,9,10,1,0,8,4,1,0
901,"286,000",0,0,1,11,1,0,5,4,2,0
902,"469,000",0,0,0,8,1,0,4,4,2,0
903,"270,000",0,0,11,11,1,4,6,2,1,0
904,"188,000",0,0,14,0,0,0,9,0,1,0
905,"350,000",0,0,1,11,1,2,2,4,1,0
906,"495,000",0,0,8,10,1,3,4,3,2,1
907,"350,000",0,0,6,8,1,5,1,3,1,0
908,"365,000",0,0,0,4,0,0,1,3,1,0
909,"335,000",0,0,12,2,0,4,7,0,3,0
910,"320,000",0,0,0,7,1,5,2,1,1,0
911,"340,000",0,0,7,9,1,4,2,1,1,0
912,"430,000",0,0,15,7,1,0,0,4,1,0
913,"350,000",0,0,10,9,1,5,1,1,1,0
914,"358,000",0,0,7,12,1,4,2,1,1,0
915,"360,000",0,0,3,11,1,2,0,5,2,0
916,"370,000",0,0,3,14,1,4,2,1,1,0
917,"265,000",0,0,8,13,1,5,3,2,1,0
918,"420,000",0,0,10,11,1,0,1,4,1,0
919,"225,000",0,0,14,1,0,0,2,1,1,0
920,"360,000",0,0,4,11,1,0,2,4,1,0
921,"425,000",0,0,5,16,1,2,6,4,4,0
922,"465,000",0,0,2,15,2,1,7,0,0,1
923,"265,000",0,0,16,3,0,3,9,2,1,0
924,"450,000",0,0,12,17,3,5,7,0,0,1
925,"400,000",0,0,0,4,1,0,5,4,1,0
926,"258,000",0,0,1,10,1,1,0,1,1,0
927,"290,000",0,0,4,6,1,5,5,4,1,0
928,"325,000",0,0,10,5,1,3,8,4,1,0
929,"415,000",0,0,13,11,1,0,0,5,4,0
930,"325,000",0,0,9,10,1,0,8,4,1,0
931,"286,000",0,0,1,11,1,0,5,4,2,0
932,"469,000",0,0,0,8,1,0,4,4,2,0
933,"270,000",0,0,11,11,1,4,6,2,1,0
934,"188,000",0,0,14,0,0,0,9,0,1,0
935,"350,000",0,0,1,11,1,2,2,4,1,0
936,"495,000",0,0,8,10,1,3,4,3,2,1
937,"350,000",0,0,6,8,1,5,1,3,1,0
938,"365,000",0,0,0,4,0,0,1,3,1,0
939,"335,000",0,0,12,2,0,4,7,0,3,0
940,"320,000",0,0,0,7,1,5,2,1,1,0
941,"340,000",0,0,7,9,1,4,2,1,1,0
942,"430,000",0,0,15,7,1,0,0,4,1,0
943,"350,000",0,0,10,9,1,5,1,1,1,0
944,"358,000",0,0,7,12,1,4,2,1,1,0
945,"360,000",0,0,3,11,1,2,0,5,2,0
946,"370,000",0,0,3,14,1,4,2,1,1,0
947,"265,000",0,0,8,13,1,5,3,2,1,0
948,"420,000",0,0,10,11,1,0,1,4,1,0
949,"225,000",0,0,14,1,0,0,2,1,1,0
950,"360,000",0,0,4,11,1,0,2,4,1,0
951,"425,000",0,0,5,16,1,2,6,4,4,0
952,"465,000",0,0,2,15,2,1,7,0,0,1
953,"265,000",0,0,16,3,0,3,9,2,1,0
954,"450,000",0,0,12,17,3,5,7,0,0,1
955,"400,000",0,0,0,4,1,0,5,4,1,0
956,"258,000",0,0,1,10,1,1,0,1,1,0
957,"290,000",0,0,4,6,1,5,5,4,1,0
958,"325,000",0,0,10,5,1,3,8,4,1,0
959,"415,000",0,0,13,11,1,0,0,5,4,0
960,"325,000",0,0,9,10,1,0,8,4,1,0
961,"286,000",0,0,1,11,1,0,5,4,2,0
962,"469,000",0,0,0,8,1,0,4,4,2,0
963,"270,000",0,0,11,11,1,4,6,2,1,0
964,"188,000",0,0,14,0,0,0,9,0,1,0
965,"350,000",0,0,1,11,1,2,2,4,1,0
966,"495,000",0,0,8,10,1,3,4,3,2,1
967,"350,000",0,0,6,8,1,5,1,3,1,0
968,"365,000",0,0,0,4,0,0,1,3,1,0
969,"335,000",0,0,12,2,0,4,7,0,3,0
970,"320,000",0,0,0,7,1,5,2,1,1,0
971,"340,000",0,0,7,9,1,4,2,1,1,0
972,"430,000",0,0,15,7,1,0,0,4,1,0
973,"350,000",0,0,10,9,1,5,1,1,1,0
974,"358,000",0,0,7,12,1,4,2,1,1,0
975,"360,000",0,0,3,11,1,2,0,5,2,0
976,"370,000",0,0,3,14,1,4,2,1,1,0
977,"265,000",0,0,8,13,1,5,3,2,1,0
978,"420,000",0,0,10,11,1,0,1,4,1,0
979,"225,000",0,0,14,1,0,0,2,1,1,0
980,"360,000",0,0,4,11,1,0,2,4,1,0
981,"425,000",0,0,5,16,1,2,6,4,4,0
982,"465,000",0,0,2,15,2,1,7,0,0,1
983,"265,000",0,0,16,3,0,3,9,2,1,0
984,"450,000",0,0,12,17,3,5,7,0,0,1
985,"400,000",0,0,0,4,1,0,5,4,1,0
986,"258,000",0,0,1,10,1,1,0,1,1,0
987,"290,000",0,0,4,6,1,5,5,4,1,0
988,"325,000",0,0,10,5,1,3,8,4,1,0
989,"415,000",0,0,13,11,1,0,0,5,4,0
990,"325,000",0,0,9,10,1,0,8,4,1,0
991,"286,000",0,0,1,11,1,0,5,4,2,0
992,"469,000",0,0,0,8,1,0,4,4,2,0
993,"270,000",0,0,11,11,1,4,6,2,1,0
994,"188,000",0,0,14,0,0,0,9,0,1,0
995,"350,000",0,0,1,11,1,2,2,4,1,0
996,"495,000",0,0,8,10,1,3,4,3,2,1
997,"350,000",0,0,6,8,1,5,1,3,1,0
998,"365,000",0,0,0,4,0,0,1,3,1,0
999,"335,000",0,0,12,2,0,4,7,0,3,0
1000,"320,000",0,0,0,7,1,5,2,1,1,0
1001,"340,000",0,0,7,9,1,4,2,1,1,0
1002,"430,000",0,0,15,7,1,0,0,4,1,0
1003,"350,000",0,0,10,9,1,5,1,1,1,0
1004,"358,000",0,0,7,12,1,4,2,1,1,0
1005,"360,000",0,0,3,11,1,2,0,5,2,0
1006,"370,000",0,0,3,14,1,4,2,1,1,0
